category,name,description,image,vegetaric,vegan,bio,menu,price,date
Heißgetränke,BIO-EILLES TEE S Früchtetee,,,Vegetarisch,Nicht vegan,bio,Kein Menü,3.2,2021-07-01
Heißgetränke,BIO-EILLES TEE L Earl Grey,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=14835&type=normal,Vegetarisch,Nicht vegan,bio,Kein Menü,3.7,2021-07-01
Heißgetränke,BIO-EILLES TEE L English Breakfast,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=14835&type=normal,Vegetarisch,Nicht vegan,bio,Kein Menü,3.7,2021-07-01
Heißgetränke,BIO-EILLES TEE L Grüntee Jingshen,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=14835&type=normal,Vegetarisch,Nicht vegan,bio,Kein Menü,3.7,2021-07-01
Heißgetränke,BIO-EILLES TEE L Früchtetee,,,Vegetarisch,Nicht vegan,bio,Kein Menü,3.7,2021-07-01
Heißgetränke,EILLES TEE S Spearminze,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=14600&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.2,2021-07-01
Heißgetränke,EILLES TEE L Spearminze,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=22625&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.7,2021-07-01
Wein & Sekt,Grauburgunder,"trocken, Juwel Weine, Rheinhessen, 0,25 l Flasche",,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,6.9,2021-07-01
Wein & Sekt,Riesling,"trocken, Weingut Leitz, Rheingau, 0,25 l Flasche",,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,7.5,2021-07-01
Wein & Sekt,2019 Rosé Spies,"trocken, halbtrocken, Weingut Spies, Rheinhessen, 0,25 l Flasche",,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,6.5,2021-07-01
Wein & Sekt,Rotwein,"trocken, Christian Hirsch, Württemberg, 0,25 l Flasche",,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,7.9,2021-07-01
Wein & Sekt,Sekt,"trocken, Cuvée, 0,2 l Flasche",https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=13554&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,5.9,2021-07-01
Aktion,Bier Hell,"0,5 l Flasche",,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,4.2,2021-10-01
Alkoholfreie Getränke,share Mineralwasser sprudelnd,"0,5 l Flasche",https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=18002&type=normal,Vegetarisch,Vegan,Nicht bio,Kein Menü,3.0,2021-10-01
Alkoholfreie Getränke,share Mineralwasser still,"0,5 l Flasche",https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=23548&type=normal,Vegetarisch,Vegan,Nicht bio,Kein Menü,3.0,2021-10-01
Alkoholfreie Getränke,Adelholzener Apfelschorle,"0,5 l Flasche",https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=13569&type=normal,Vegetarisch,Vegan,Nicht bio,Kein Menü,3.5,2021-10-01
Alkoholfreie Getränke,Coca-Cola,"0,5 l Flasche",https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=13574&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.5,2021-10-01
Alkoholfreie Getränke,Coca-Cola Zero,"0,5 l Flasche",https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=22626&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.5,2021-10-01
Alkoholfreie Getränke,Bio Rhabarber Limonade,"0,33 l Flasche, naturtrüb",,Nicht vegetarisch,Nicht vegan,bio,Kein Menü,3.5,2021-10-01
Alkoholfreie Getränke,Rauch Orangensaft,"0,2 l Flasche",https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=18004&type=normal,Vegetarisch,Vegan,Nicht bio,Kein Menü,3.0,2021-10-01
Bier,"Bitburger Premium Pils,0,3 l Glas",vom Fass,,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.3,2021-10-01
Bier,"Bitburger Premium Pils,0,5 l Glas",vom Fass,,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,4.2,2021-10-01
Bier,"Bitburger Premium Pils 0,33 l Flasche",,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=13566&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.3,2021-10-01
Bier,Bitburger Radler,"0,33 l Flasche",,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.3,2021-10-01
Bier,"Bitburger 0,0 % alkoholfreies Pils","0,33 l Flasche",,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.3,2021-10-01
Bier,ERDINGER Weißbier,"0,5 l Flasche",https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=13564&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,4.2,2021-10-01
